SLy4 (TOV)  M1 =    1.40080e+00  R1 =    1.15988e+06  om0 =    1.09158e+04  Ebind =    4.46654e+53
        r,             rho,           pr,           grav,           m(r),         Gam1,          csq,          bruntsq,         nn,            np,            ne,           nmu,           mun,            mup,          mue,           mumu
    9.97497e+03    9.85206e+14    1.35977e+35    2.74701e+12    2.05923e-06    2.54938e+00    3.51864e+20    2.54366e+01    4.97281e+38    4.09981e+37    2.66061e+37    1.43920e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    1.00910e+04    9.85204e+14    1.35977e+35    2.77895e+12    2.13190e-06    2.54938e+00    3.51863e+20    2.60316e+01    4.97280e+38    4.09980e+37    2.66061e+37    1.43919e+37    1.89760e-03    1.60561e-03    2.91989e-04    2.91989e-04
    1.02070e+04    9.85203e+14    1.35976e+35    2.81089e+12    2.20626e-06    2.54938e+00    3.51862e+20    2.66335e+01    4.97279e+38    4.09980e+37    2.66061e+37    1.43919e+37    1.89759e-03    1.60561e-03    2.91988e-04    2.91988e-04
    1.03229e+04    9.85201e+14    1.35976e+35    2.84283e+12    2.28233e-06    2.54939e+00    3.51861e+20    2.72423e+01    4.97279e+38    4.09979e+37    2.66060e+37    1.43919e+37    1.89759e-03    1.60561e-03    2.91988e-04    2.91988e-04
    1.04389e+04    9.85200e+14    1.35975e+35    2.87476e+12    2.36013e-06    2.54939e+00    3.51861e+20    2.78579e+01    4.97278e+38    4.09978e+37    2.66060e+37    1.43918e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.05549e+04    9.85198e+14    1.35975e+35    2.90670e+12    2.43968e-06    2.54939e+00    3.51860e+20    2.84804e+01    4.97277e+38    4.09978e+37    2.66060e+37    1.43918e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.06709e+04    9.85197e+14    1.35974e+35    2.93864e+12    2.52099e-06    2.54939e+00    3.51859e+20    2.91098e+01    4.97277e+38    4.09977e+37    2.66059e+37    1.43918e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.07869e+04    9.85195e+14    1.35973e+35    2.97058e+12    2.60409e-06    2.54939e+00    3.51858e+20    2.97461e+01    4.97276e+38    4.09976e+37    2.66059e+37    1.43917e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.09029e+04    9.85193e+14    1.35973e+35    3.00252e+12    2.68900e-06    2.54939e+00    3.51858e+20    3.03893e+01    4.97275e+38    4.09976e+37    2.66058e+37    1.43917e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.10189e+04    9.85192e+14    1.35972e+35    3.03446e+12    2.77573e-06    2.54939e+00    3.51857e+20    3.10393e+01    4.97274e+38    4.09975e+37    2.66058e+37    1.43917e+37    1.89759e-03    1.60560e-03    2.91988e-04    2.91988e-04
    1.11349e+04    9.85190e+14    1.35972e+35    3.06640e+12    2.86431e-06    2.54939e+00    3.51856e+20    3.16963e+01    4.97274e+38    4.09974e+37    2.66058e+37    1.43917e+37    1.89759e-03    1.60560e-03    2.91987e-04    2.91987e-04
    1.12508e+04    9.85188e+14    1.35971e+35    3.09834e+12    2.95475e-06    2.54939e+00    3.51855e+20    3.23601e+01    4.97273e+38    4.09974e+37    2.66057e+37    1.43916e+37    1.89759e-03    1.60560e-03    2.91987e-04    2.91987e-04
    1.13668e+04    9.85187e+14    1.35970e+35    3.13027e+12    3.04708e-06    2.54939e+00    3.51855e+20    3.30307e+01    4.97272e+38    4.09973e+37    2.66057e+37    1.43916e+37    1.89758e-03    1.60560e-03    2.91987e-04    2.91987e-04
    1.14828e+04    9.85185e+14    1.35970e+35    3.16221e+12    3.14131e-06    2.54940e+00    3.51854e+20    3.37083e+01    4.97272e+38    4.09972e+37    2.66057e+37    1.43916e+37    1.89758e-03    1.60560e-03    2.91987e-04    2.91987e-04
    1.15988e+04    9.85183e+14    1.35969e+35    3.19415e+12    3.23746e-06    2.54940e+00    3.51853e+20    3.43927e+01    4.97271e+38    4.09971e+37    2.66056e+37    1.43915e+37    1.89758e-03    1.60560e-03    2.91987e-04    2.91987e-04
    1.17148e+04    9.85181e+14    1.35969e+35    3.22609e+12    3.33555e-06    2.54940e+00    3.51852e+20    3.50841e+01    4.97270e+38    4.09971e+37    2.66056e+37    1.43915e+37    1.89758e-03    1.60559e-03    2.91987e-04    2.91987e-04
    1.18308e+04    9.85180e+14    1.35968e+35    3.25803e+12    3.43561e-06    2.54940e+00    3.51851e+20    3.57823e+01    4.97269e+38    4.09970e+37    2.66055e+37    1.43915e+37    1.89758e-03    1.60559e-03    2.91987e-04    2.91987e-04
